날짜,단어,뜻
Day03,respect,"v. 존중하다, 존경하다 n. 존중, 존경, (측)면, 점"
Day03,accountable,a. 책임 있는
Day04,reveal,"v. 드러내다, 밝히다, 폭로하다"
Day04,prevailing,"a. 지배적인, 우세한"
Day04,utter,"a. 완전한 v. 말을 하다, 발화하다"
Day04,region,"n. 부위, 부분, 지역, 지방"
Day04,reverse,"v. 역전시키다, 뒤집다, 거꾸로 하다 a. 반대의, 거꾸로의"
Day04,fascination,"n. 매료됨, 매력 있는 것"
Day04,convincing,a. 설득력 있는
Day04,dismiss,"v. 일축[묵살]하다, 해고하다, 기각하다"
Day04,introduction,"n. 유입, 소개"
Day04,literature,"n. 문학, (연구) 문헌"
Day04,concerning,prep. ~에 관한
Day04,cognitive,"a. 인지의, 인식의"
Day04,restrict,"v. 제한하다, 국한하다"
Day04,occupation,"n. (특히 즐거움을 위해 시간을 보내는 특정한) 활동, 직업, 점령"
Day04,materialistic,a. 물질주의적인
Day04,interweave,"v. 얽다, 엮다, 섞어 짜다"
Day04,reflection,"n. 성찰, 반사, 반영"
Day04,representation,"n. 표상, 대표성, 표현"
Day04,populate,"v. 살다, 거주하다, (~ 속의 자리를) 차지하다"
Day04,compatible,"a. 양립될 수 있는, 호환 가능한"
Day04,factor,"n. 요인, 요소"
Day04,operation,"n. 작용, 운영, 경영, 작업, 수술"
Day04,alien,"n. 외국인, 이방인 a. 외계의, 외국의, 이질적인"
Day04,signify,"v. 의미하다, 나타내다"
Day04,gratify,v. 만족시키다
Day04,rubbish,"n. 폐품, 쓰레기"
Day04,arouse,"v. 고조시키다, 자극하다"
Day04,industrial,"a. 산업의, 공업의"
Day04,optimal,a. 최적의
Day04,innate,"a. 타고난, 선천적인, 내재적인"
Day05,distinguished,"a. 저명한, 매우 성공한"
Day05,synthetic,"a. 합성의, 인위적인"
Day05,costume,"n. 의상, 복장"
Day05,emphasize,v. 강조하다
Day05,outnumber,v. (~보다) 수가 더 많다
Day05,curiosity,n. 호기심
Day05,appliance,"n. 기기, 가전제품"
Day05,figure,"n. 수치, 숫자, 인물, 형상 v. 생각하다, 계산하다"
Day05,phenomenon,n. 현상 ( pl. phenomena )
Day05,renowned,"a. 유명한, 저명한"
Day05,generate,"v. 발생시키다, 만들어 내다, 일으키다"
Day05,common,"a. 흔한, 일반적인, 공통의"
Day05,ambiguity,"n. 모호함, 모호성"
Day05,chemistry,"n. 화학, 화학적 상태, 화학적 성질"
Day05,symposium,"n. 학술 토론회, 심포지엄"
Day05,entail,v. 수반하다
Day05,adoption,"n. 채택, 입양"
Day05,bound,"a. 얽매인, 반드시 ~할 수밖에 없는"
Day05,thirst,"n. 갈증, 목마름 v. 갈망하다"
Day05,vibrant,"a. 생생한, 활기찬, 선명한"
Day05,suspension,"n. 유예, 보류, 정지, 정학"
Day05,negotiator,n. 협상가
Day05,destination,"n. 목적지, 관광지"
Day05,displace,"v. 대체[대신]하다, (살던 곳에서) 쫓아내다, (평소의 위치에서) 옮겨 놓다"
Day05,portrait,n. 초상화
Day05,expensive,"a. 비용이 많이 드는, 비싼"
Day05,ugly,"a. 흉한, 추한"
Day05,construct,"v. 건설[건축]하다, 구성하다 n. 개념, 생각, 구성체"
Day05,investment,"n. 투자, (시간·노력·열의 등의) 투입"
Day05,precision,"n. 정밀성, 정밀도"
Day06,application,"n. 적용, 응용, 지원, 응용 프로그램"
Day06,rural,"a. 시골의, 농촌의, 지방의"
Day06,wrongdoer,"n. 악행을 저지르는 사람, 범법자"
Day06,embody,"v. 구현하다, 체화하다, 나타내다"
Day06,distinct,"a. 뚜렷한, 명백한, 뚜렷이 구별되는, 고유한"
Day06,determine,"v. 결정하다, 결심하다, 알아내다"
Day06,similar,"a. 유사한, 비슷한"
Day06,observation,"n. 의견, 논평, 관찰, 관측"
Day06,endeavor,n. 노력
Day06,dedicate,"v. 헌신하다, 바치다, 전념하다"
Day06,shelter,"v. 보호하다 n. 보호소, 주거지, 쉼터"
Day06,inner,"a. 내면의, 내부의"
Day06,appropriate,"a. 적절한, 적합한, 적당한 v. 도용하다"
Day06,affordable,"a. (가격이) 알맞은, 적당한, 합리적인"
Day06,seasonal,"a. 계절에 맞는, 계절의"
Day06,obvious,"a. 명백한, 분명한, 당연한"
Day06,official,"a. 공식적인, 공적인"
Day06,produce,"n. 농산물 v. 만들어 내다, 생산하다"
Day06,legacy,n. 유산
Day06,obesity,n. 비만
Day06,boundary,n. 경계(선)
Day06,incidence,"n. 발생[발병]률, 빈도, 발생 정도"
Day06,confront,"v. 마주하다, 직면하다"
Day06,conventional,"a. 전통적인, 기존의, 관습적인, 재래식의"
Day06,aid,"v. 돕다 n. 도움, 원조"
Day06,assistance,"n. 도움, 보조, 지원"
Day06,coincidence,"n. 우연, 우연의 일치"
Day06,monetary,"a. 금전적인, 통화의"
Day06,session,"n. 수업, (특정한 활동을 위한) 시간[기간], 회기"
Day06,escape,"v. 벗어나다, 탈출하다 n. 탈출"
Day07,analysis,n. 분석
Day07,automatic,"a. 자동적인, 무의식적인"
Day07,approval,"n. 승인, 인정"
Day07,significance,"n. 의의, 의미, 중요성"
Day07,quantity,n. 양
Day07,undergo,"v. 거치다, 겪다"
Day07,caution,"n. 조심, 신중 v. 경고하다"
Day07,evaluate,v. 평가하다
Day07,remind,v. 상기시키다
Day07,remedy,"n. 치료(약), 해결책"
Day07,revenge,"n. 복수, 보복"
Day07,confirm,v. 확인하다
Day07,direction,"n. 지휘, 감독, 방향"
Day07,legislator,"n. (의회) 의원, 입법자"
Day07,coherent,"a. 일관된, 조리 있는"
Day07,faculty,"n. 기능, 능력, 교직원, 학부"
Day07,beneficial,"a. 유익한, 이로운"
Day07,supplement,n. 보충(제) v. 보충하다
Day07,secrete,v. 분비하다
Day07,disposition,"n. 성질, 성향, 기질"
Day07,current,"a. 현행의, 현재의 n. 흐름, 해류"
Day07,participation,n. 참여
Day07,cooperative,"a. 협력적인, 협동적인, 협조적인"
Day07,diagnose,v. 진단하다
Day07,condense,"v. 응축하다, 압축하다, 요약하다"
Day07,distinguish,"v. 가르다, 구별하다, 구분하다"
Day07,aesthetic,"a. 미학적인, 미적인 n. 미관"
Day07,array,"n. 배열, 집합체"
Day07,rarely,"ad. 거의 ~하지 않는, 좀처럼 ~하지 않는"
Day07,regularity,n. 규칙성
Day08,deficit,"n. 부족, 결손"
Day08,outscore,v. (~보다) 더 높은 점수를 받다
Day08,seed,n. 씨앗 v. 씨를 뿌리다
Day08,immense,"a. 엄청난, 거대한"
Day08,cluster,"v. 모으다, 무리를 이루다 n. 무리, 집합"
Day08,inform,"v. 알리다, 알려 주다"
Day08,optimum,"a. 최고의, 최적의"
Day08,navigate,"v. 길을 찾다, (길을) 안내하다, 항해하다"
Day08,proper,"a. 적합한, 적절한"
Day08,trigger,"v. 유발하다, 촉발하다, 일으키다"
Day08,stress,v. 강조하다 n. 스트레스
Day08,sufficient,a. 충분한
Day08,digit,"n. 자릿수, 숫자"
Day08,perceptual,"a. 지각의, 인식의"
Day08,passage,"n. 글, 구절, 이동, 통로"
Day08,knowledgeable,"a. 잘 아는, 해박한"
Day08,groundbreaking,"a. 혁신적인, 획기적인"
Day08,prior,"a. 사전의, 이전의"
Day08,border,"n. 국경(선), 경계"
Day08,reason,"v. 추론하다, 판단하다 n. 이유, 이성, 근거"
Day08,deception,"n. 속임수, 기만"
Day08,elicit,v. 이끌어 내다
Day08,adherence,"n. 지속성, 집착, 고수"
Day08,fulfill,"v. 충족시키다, 달성하다"
Day08,multiple,"a. 여러, 다수의, 다양한"
Day08,conspicuous,a. 눈에 (잘) 띄는
Day08,cue,"v. 유도하다, 신호하다 n. 단서, 실마리"
Day08,specific,a. 특정한
Day08,prove,v. 증명하다
Day08,modest,"a. 대단하지 않은, 겸손한"
Day09,shallow,"a. 피상적인, 얕은"
Day09,outcome,n. 결과
Day09,imitate,"v. 모방하다, 흉내 내다"
Day09,grasp,"v. 이해하다, 파악하다, 꽉 잡다"
Day09,barn,n. 헛간
Day09,divine,"a. 신성한, 신의"
Day09,acquire,"v. 획득하다, 얻다, 습득하다"
Day09,condition,"n. 질환, 조건, 상태"
Day09,endure,"v. 견디다, 인내하다"
Day09,restore,"v. 회복하다, 복원하다, 복구하다"
Day09,tragedy,n. 비극
Day09,distract,v. (주의를) 산만하게 하다
Day09,overlap,v. 겹치다
Day09,despair,n. 절망
Day09,output,"n. 결과물, 출력, 생산량"
Day09,presentation,"n. 표출, 표현, 발표, 제출"
Day09,overall,"a. 전반적인, 전체적인"
Day09,reference,"n. 준거, 기준, 참고, 참조, 언급"
Day09,analogy,"n. 유추, 비유, 유사점"
Day09,execution,"n. 수행, 실행"
Day09,depression,n. 우울(증)
Day09,criterion,n. 기준 ( pl. criteria )
Day09,purification,n. 정화
Day09,proximity,"n. 근접(성), 가까움"
Day09,apparent,"a. 눈에 보이는, 겉으로 보이는, 명백한"
Day09,capability,"n. 역량, 능력"
Day09,symptom,n. 증상
Day09,undervalue,"v. 저평가하다, 과소평가하다"
Day09,conflict,"n. 갈등, 분쟁 v. 상충하다"
Day09,refuge,"n. 피난처, 보호 시설, 쉼터"
Day10,alter,"v. 개조하다, 변경하다, 바꾸다"
Day10,access,"v. 접근하다, 이용하다 n. 접근(성)"
Day10,portable,a. 휴대용의
Day10,coordinate,"v. 조정하다, 조율하다"
Day10,inherent,"a. 본질적인, 본래의, 내재된, 선천적인"
Day10,combination,"n. 결합, 조합"
Day10,fashion,"v. 만들다 n. 유행, 방식"
Day10,crude,"a. 조잡한, 대충의, 미가공의"
Day10,row,"n. 줄, 열"
Day10,distribute,"v. 배포하다, 분포시키다, 분배하다, 유통시키다"
Day10,repurpose,"v. 재활용하다, 다른 용도로 사용하다"
Day10,attitude,n. 태도
Day10,discern,"v. 분별하다, 구분하다, 식별하다, 파악하다"
Day10,bygone,"a. 지나간, 과거의"
Day10,questionable,a. 의심스러운
Day10,opinion,n. 의견
Day10,widespread,a. 널리 퍼진
Day10,rational,"a. 합리적인, 이성적인"
Day10,regarding,prep. ~과 관련하여
Day10,contest,"n. 경쟁, 대회 v. 경쟁하다, 다투다"
Day10,democratic,"a. 민주적인, 민주주의의"
Day10,contemporary,"a. 현시대의, 동시대적인 n. 동시대의 사람"
Day10,necessitate,v. 필요로 하다
Day10,preference,"n. 선호, 선호하는 것"
Day10,rare,"a. 드문, 희귀한"
Day10,shrinking,"n. 축소, 감소"
Day10,sustainability,n. 지속 가능성
Day10,unthought,"a. 무의식적인, 예기치 않은"
Day10,secondhand,"a. 중고의, 간접적인"
Day10,prominent,"a. 중요한, 두드러진"
Day11,revolutionize,"v. 혁신을 가져오다, 획기적으로 바꾸다"
Day11,improve,"v. 향상되다, 향상하다, 개선하다"
Day11,disruptive,"a. 방해가 되는, 파괴적인"
Day11,willingness,n. 기꺼이 하려는 의지
Day11,custom,"n. 관행, 관습"
Day11,nonprofit,a. 비영리적인 n. 비영리 단체
Day11,exist,v. 존재하다
Day11,startle,v. 깜짝 놀라게 하다
Day11,impression,"n. 느낌, 인상"
Day11,conciliation,"n. 우호 상태, 화해"
Day11,ascend,"v. 올라가다, 오르다"
Day11,disarmament,"n. 군축, 무장 해제"
Day11,isolation,"n. 격리, 고립"
Day11,demanding,"a. 힘든, 부담이 큰"
Day11,demonstrate,"v. 보여 주다, 입증하다, 시연하다"
Day11,centerpiece,"n. 핵심, 중심 요소"
Day11,paragraph,n. 단락
Day11,individualism,n. 개인주의
Day11,deceive,v. 속이다
Day11,reasoning,"n. 추론, 추리 a. 추리의, 이성이 있는"
Day11,chronic,a. 만성적인
Day11,circumstance,"n. 상황, 환경, 사정"
Day11,mischievous,a. 장난기 많은
Day11,patience,n. 인내(심)
Day11,obligate,"v. 의무를 지우다, 강요하다"
Day11,aroma,"n. 냄새, 향기"
Day11,escalation,"n. 고조, 상승, 격화"
Day11,refuse,"v. 거절하다, 거부하다"
Day11,simplify,v. 단순화하다
Day11,hesitate,"v. 망설이다, 주저하다"
Day12,orbit,n. 궤도
Day12,accurate,a. 정확한
Day12,comfort,"n. 편안함, 안락"
Day12,virtual,"a. 가상의, 실질적인"
Day12,stretch,"v. 뻗다, 퍼지다"
Day12,tedious,"a. 따분한, 지루한"
Day12,molecular,"a. 분자의, 분자에 의한"
Day12,share,"v. 나누다, 공유하다 n. 비율, 몫"
Day12,perspective,"n. 관점, 원근(법)"
Day12,pursue,"v. 추구하다, 추적하다"
Day12,definition,"n. 정의, 선명도"
Day12,liquid,"a. 액체의, 액체 형태의 n. 액체"
Day12,halt,"v. 중단하다, 멈춰 서다 n. 중단, 멈춤"
Day12,corridor,"n. 회랑 지대, 복도"
Day12,wander,"v. 돌아다니다, 거닐다 n. 돌아다니기, 거닐기"
Day12,scold,v. 꾸짖다
Day12,universe,n. 우주
Day12,frozen,"a. 얼어붙은, 냉동된"
Day12,gauge,"v. 측정하다, 판단하다 n. 범위, 치수"
Day12,mammal,"n. 포유류, 포유동물"
Day12,emission,n. 배출(물)
Day12,landfill,"n. 쓰레기 매립지, 쓰레기 매립"
Day12,temperate,"a. 온대의, 온화한, 절제하는"
Day12,imposition,"n. 부과, 부담"
Day12,interference,"n. 간섭, 방해"
Day12,microorganism,n. 미생물
Day12,sarcastic,"a. 비꼬는, 냉소적인"
Day12,keystone,"n. 핵심, 쐐기돌"
Day12,journey,"n. 여행, 여정"
Day12,dependence,n. 의존(도)
Day13,modify,"v. 수정하다, 조정하다"
Day13,activate,"v. 활성화하다, 작동시키다"
Day13,detach,"v. 분리하다, 떼어 내다"
Day13,stack,v. 쌓다 n. (쌓아 올린) 더미
Day13,explore,"v. 탐구하다, 탐색하다, 탐험하다"
Day13,protest,"n. 항의, 이의 제기 v. 항의하다, 이의를 제기하다"
Day13,affirm,"v. 확인하다, 단언하다"
Day13,exhibition,n. 전시(회)
Day13,insult,"n. 모욕(감) v. 모욕하다, 무례한 짓을 하다"
Day13,identification,"n. 식별, 신원 확인"
Day13,negative,"a. 부정적인, 비관적인, 소극적인, 마이너스의"
Day13,rebellion,"n. 반란, 반대, 저항"
Day13,evolutionary,"a. 진화의, 진화적인, 점진적인"
Day13,executive,"n. (기업의) 임원, 이사, 경영진 a. 경영의, 집행의"
Day13,advent,"n. 출현, 도래"
Day13,deficient,"a. 부족한, 결핍된"
Day13,explicit,"a. 명시적인, 뚜렷한"
Day13,tropical,"a. 열대의, 열대 지방의"
Day13,character,"n. 등장인물, 성격"
Day13,guilty,"a. 죄책감을 느끼게 하는, 죄책감이 드는, 유죄의"
Day13,arrival,"n. 도래, 도착, 등장"
Day13,fluid,"a. 유동적인 n. 유체, 액체"
Day13,religion,n. 종교
Day13,suburb,"n. 교외 (지역), 근교"
Day13,domain,"n. 분야, 영역, 도메인"
Day13,challenge,"v. 도전하다, 이의를 제기하다 n. 어려움, 도전, 이의 제기"
Day13,furnishing,"n. 가구 (비치), 비품"
Day13,spacious,"a. 넓은, 널찍한"
Day13,rigid,"a. 경직된, 엄격한"
Day13,universal,"a. 보편적인, 우주의"
Day14,browse,"v. 검색하다, 훑어보다, 뜯어 먹다"
Day14,celebrity,n. 유명인
Day14,hazardous,"a. 위험한, 해로운"
Day14,telescope,n. 망원경
Day14,dose,"n. 복용량, 양"
Day14,extreme,"n. 극단 a. 극단적인, 극도의"
Day14,notion,"n. 생각, 개념"
Day14,impulse,n. 충동
Day14,tiny,a. 매우 작은
Day14,vivid,"a. 생생한, 생기에 찬"
Day14,transparent,"a. 투명한, 명료한"
Day14,infrastructure,n. (사회) 기반 시설
Day14,eliminate,"v. 배제하다, 제거하다, 없애다"
Day14,transfer,"v. 옮기다, 전환하다, 환승하다 n. 전환, 이동, 환승"
Day14,exposure,"n. 노출, 접하게 함"
Day14,personality,"n. 개성, 성격"
Day14,differentiate,"v. 차별화하다, 구분하다"
Day14,commercial,"a. 상업적인, 상업의"
Day14,stare,"v. 응시하다, 빤히 쳐다보다 n. 응시, 빤히 쳐다보기"
Day14,request,v. 요청하다 n. 요청
Day14,principle,"n. 원칙, 원리"
Day14,oppressive,a. 억압적인
Day14,strategy,n. 전략
Day14,sensory,a. 감각의
Day14,comparative,"a. 비교의, 상대적인"
Day14,advanced,"a. 고도의, 고등의, 진보한"
Day14,finalize,"v. 확정하다, 결말을 짓다"
Day14,substance,"n. 본질, 물질, 실체"
Day14,prompt,"v. 자극하다, 촉발하다 a. 신속한, 즉각적인"
Day14,transportation,"n. 배송, 운송, 교통수단"
Day15,hinder,"v. 방해하다, 못 하게 하다"
Day15,correct,"v. 바로잡다, 수정하다 a. 올바른, 정확한"
Day15,confidential,"a. 비밀의, 기밀의, 은밀한"
Day15,qualify,"v. 자격을 얻다, 자격을 주다, 수식하다, 단서를 달다"
Day15,situation,"n. 상황, 환경"
Day15,reliable,"a. 확실한, 신뢰할 수 있는"
Day15,gradual,"a. 점진적인, 단계적인, 서서히 하는"
Day15,odd,"a. 이상한, 홀수의"
Day15,recommend,"v. 권장하다, 권하다, 추천하다"
Day15,reservation,"n. 예약, 보류, (미국에서) 인디언 보호 구역"
Day15,scan,"v. 살피다, 스캔하다"
Day15,renewal,"n. 갱신, 재개, 부활"
Day15,ignore,"v. 무시하다, 모르는 체하다"
Day15,sort,v. 분류하다 n. 종류
Day15,prevention,"n. 예방, 방지"
Day15,childhood,"n. 어린 시절, 유년기"
Day15,meteor,"n. 유성, 별똥별"
Day15,evoke,"v. 불러일으키다, 유발하다"
Day15,suspicion,"n. 의심, 의혹, 혐의"
Day15,firewall,n. 방화벽
Day15,confusion,"n. 혼란, 혼동"
Day15,medication,"n. 약(물), 약물 치료"
Day15,structure,"n. 구조, 구조물, 짜임새 v. 조직하다, 구조화하다"
Day15,vulnerability,n. 취약성
Day15,registration,"n. 등록, 기입"
Day15,instruction,"n. 수업, 교육, 지시, 사용법"
Day15,experiment,n. 실험 v. 실험하다
Day15,dairy,"n. 유제품, 낙농(업) a. 유제품의, 낙농(업)의"
Day15,downright,"ad. 매우, 완전히 a. 완전한, 노골적인"
Day15,spectacle,"n. 구경거리, 광경"
Day16,empathize,"v. 공감하다, 감정 이입을 하다"
Day16,actual,"a. 실제의, 현실의"
Day16,purchase,"n. 구매 v. 구매하다, 사다"
Day16,permanent,"a. 영구적인, 불변의, 상설의"
Day16,recognize,"v. 인식하다, 인지하다"
Day16,straightforward,"a. 있는 그대로의, 솔직한, 명확한"
Day16,blend,"v. 결합하다, 섞다"
Day16,norm,"n. 규범, 표준"
Day16,function,v. 기능하다 n. 기능
Day16,exemplary,"a. 모범적인, 전형적인, 좋은 예가 되는"
Day16,grief,n. 슬픔
Day16,compete,"v. 경쟁하다, 겨루다, 서로 맞서다"
Day16,circulate,"v. 유포되다, 유포하다, 돌다, 순환하다"
Day16,authority,"n. 권위, 권위자, (주로 복수로) 당국"
Day16,tribe,"n. 부족, 종족"
Day16,tailored,a. 맞춤의
Day16,incentive,"n. 인센티브, 유인, 자극 a. 자극적인, 장려하는"
Day16,express,v. 표현하다
Day16,inclined,"a. 경사진, ~하고 싶은, ~의 경향이 있는"
Day16,conservative,"a. 보수적인, 보수주의의"
Day16,emotional,"a. 정서적인, 감정의, 감정적인"
Day16,gravity,"n. 중력, 진지함"
Day16,donate,"v. 기부하다, 기증하다"
Day16,influential,"a. 영향력이 있는, 영향을 미치는"
Day16,strengthen,"v. 강화하다, 튼튼하게 하다"
Day16,discrete,"a. 명확하게 구분되는, 개별의"
Day16,arrange,"v. 배열하다, 준비하다, 정돈하다, 정리하다"
Day16,constant,"a. 일정한, 지속적인 n. 불변의 것, 상수"
Day16,present,"v. 제시하다, 주다 n. 현재, 선물 a. 존재하는, 참석한, 현재의"
Day16,military,"a. 군사의, 무력의 n. 군인들, 군대"
Day17,collective,"a. 집단의, 공동의"
Day17,costly,"a. 소모가 많은, 비용이 많이 드는, 희생이 큰"
Day17,blink,"v. 눈을 깜빡이다 n. 깜빡임, 섬광"
Day17,parallel,"ad. 나란히, 평행하여 a. 나란히 가는, 평행한, 일치하는, 유사한 n. 평행인 것, 유사"
Day17,detail,"n. 세부 사항, 상세"
Day17,complement,"v. 보완하다, 보충하다 n. 보완(물), 보충(량)"
Day17,countless,"a. 셀 수 없이 많은, 무수한"
Day17,concern,"n. 걱정, 우려, 관심"
Day17,lower,"v. 내리다, 낮추다"
Day17,cozy,"a. 쾌적한, 아늑한"
Day17,nearby,"a. 인근의, 가까운 곳의"
Day17,stimulation,"n. 자극, 격려, 고무"
Day17,regret,"v. 후회하다, 유감스럽게 생각하다 n. 후회, 유감"
Day17,fake,"v. 조작하다, 위조하다 a. 가짜의, 위조의 n. 위조품"
Day17,extension,"n. 연장(선), 확장, 확대, 내선 번호"
Day17,potter,"n. 도공, 도예가"
Day17,materiality,"n. 물질성, 구체성"
Day17,arise,"v. 발생하다, 일어나다"
Day17,clothing,"n. 의복, 의류"
Day17,duration,"n. (지속) 시간, 기간"
Day17,sacrifice,"v. 희생하다, 희생시키다 n. 희생, 희생물"
Day17,frown,"v. 얼굴을 찌푸리다, 찡그리다"
Day17,punctuate,"v. 간간이 끼어들다, 구두점을 찍다, 중단시키다"
Day17,haste,"n. 서두름, 급함"
Day17,unstable,"a. 불안정한, 변하기 쉬운"
Day17,ritual,"n. 의식, 관례 a. 의식상의, 의식을 위한"
Day17,keen,"a. 예리한, 날카로운, 열망하는"
Day17,object,"n. 물건, 물체 v. 반대하다"
Day17,peer,"n. 또래, 동료 집단"
Day17,fetch,v. 가지고 오다
Day18,mimic,"v. 모방하다, 흉내 내다"
Day18,sensibility,"n. 감정, 감수성"
Day18,astonish,v. 깜짝 놀라게 하다
Day18,validity,"n. 타당성, 정당성"
Day18,theatrical,"a. 연극의, 극장의 n. 연극"
Day18,entirety,"n. 전체, 전부, 완전"
Day18,variable,"n. 변수 a. 변동이 심한, 가변적인"
Day18,debate,"n. 논쟁, 토론 v. 논쟁하다, 토론하다"
Day18,investigate,"v. 조사하다, 수사하다"
Day18,acquaintance,"n. 지인, 아는 사람, 면식"
Day18,remarkable,"a. 뛰어난, 놀라운, 현저한"
Day18,enthusiast,"n. 애호가, 열성가, 열정적인 팬"
Day18,derive,"v. 유래하다, 끌어내다"
Day18,selection,"n. 선택, 선발, 선택된 것"
Day18,relative,"a. 상대적인, 비교상의 n. 친척, 동족"
Day18,adversity,"n. 역경, 불운"
Day18,blanket,n. 담요
Day18,consensus,"n. 합의, 컨센서스"
Day18,outline,"n. 개요, 윤곽 v. 개요를 서술하다, 윤곽을 그리다"
Day18,instrument,"n. 악기, 도구, 기구"
Day18,resource,"n. 자원, 방편, 지략"
Day18,medium,"n. 매체, 도구, 수단 a. 중간의"
Day18,celebrated,"a. 유명한, 저명한"
Day18,compose,"v. 작곡하다, 구성하다"
Day18,harsh,"a. 가혹한, 냉혹한, 혹독한"
Day18,radical,"a. 극단적인, 근본적인"
Day18,essence,"n. 본질, 정수"
Day18,engender,"v. 낳다, 발생시키다"
Day18,content,"n. 콘텐츠, 내용(물), 목차 a. 만족하는 v. 만족시키다"
Day18,statesman,"n. 정치인, 정치가, 경세가"
Day19,reputation,"n. 평판, 명성"
Day19,channel,v. 보내다 n. (텔레비전·라디오의) 채널
Day19,margin,"n. (판매) 이익, 가장자리, 여백"
Day19,compliance,"n. 준수, 순응"
Day19,attract,"v. 끌어들이다, 불러일으키다"
Day19,element,"n. 요소, 성분, 원소"
Day19,emperor,"n. 황제, 제왕"
Day19,priority,"n. 우선 사항, 우선 과제, 우선순위"
